id,text,timestamp,decoration,citation,
367,watch the tow rope slip past us,10/26/2015,,,
368,watch the tow rope slip past us,10/26/2015,,,
369,,,,,
370,,,,,
371,i still think of him jumping into the river,10/26/2015,,,
372,to find the rapids to his chest,10/26/2015,,,
373,,,,,
374,,,,,
375,to find he was not certain,10/26/2015,,,
376,he could save us,10/26/2015,,,
377,,,,,
378,,,,,
379,doubt is [ digital / deluge ],5/21/2017,,,
380,such a cautious baby,5/22/2017,,,
381,,,,,
382,,,,,
383,my mom tells me i knew i could float,1/12/2017,,,
384,but stayed where i could touch,1/12/2017,,,
385,,,,,
386,,,,,
387,virtual reality is,1/12/2017,,,
388,swimming pool,1/12/2017,,,
389,,,,,
390,,,,,
391,why would the immersive hold,10/14/2016,,,
392,any appeal for the traumatized?,10/14/2016,,,
393,,,,,
394,,,,,
395,self a porous stone,5/22/2017,,,
396,self a shelter,2/26/2017,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,to make change do the same,8/10/2016,,,
406,new thing over and over,8/10/2016,,,
407,,,,,
408,,,,,
409,but am i ready to commit,8/12/2016,,,
410,to a product ecosystem,8/12/2016,,,
411,,,,,
412,,,,,
413,earth retreats psoas shorten,1/17/2017,,,
414,sitting reading re the new smoking,2/8/2017,,,
415,,,,,
416,,,,,
417,does this material breathe,1/3/2017,,,
418,mind as the drone flies,8/7/2016,,,
419,,,,,
420,,,,,
421,A L W A Y S A L R E A D Y A L M O S T,6/28/2016,,,
422,scroll treadmill what would be GIF enough,5/22/2017,,,
423,,,,,
424,,,,,
425,all posts tagged with fitbit stats,9/3/2016,,,
426,for public shaming purposes,9/3/2016,,,
427,,,,,
428,,,,,
429,my watch whispers,9/13/2016,,,
430,try harder,9/13/2016,,,
431,,,,,
432,,,,,
433,every activity counts,9/24/2016,,,
434,a snapshot of you,9/24/2016,,,
435,,,,,
436,,,,,
437,made to be with you everywhere,9/24/2016,,,
438,ticking tracking tweeting,9/24/2016,,,
439,,,,,
440,,,,,
441,you can even send your,9/24/2016,,,
442,own racing heart beat,9/24/2016,,,
443,,,,,
444,,,,,
445,keep it up your goal,1/27/2017,,,
446,is to lose,1/27/2017,,,
447,,,,,
448,,,,,
449,once you’re aware of it,2/14/2017,,,
450,you can improve it,2/14/2017,,,
451,,,,,
452,,,,,
453,[ get clue / purchase calm /,1/22/2017,,,
454,update health / download breathe /,1/22/2017,,,
455,,,,,
456,,,,,
457,sync drive / automate freedom /,1/22/2017,,,
458,try optimism / refresh you ],1/22/2017,,,
459,,,,,
460,,,,,
461,this app tells the future,8/22/2016,,,
462,to fuck off,8/22/2016,,,
463,,,,,
464,,,,,
465,self a moment [ capture ],2/23/2017,,,
466,self a multitask [ copy ],2/23/2017,,,
467,,,,,
468,,,,,
469,self a muscle [ clench ],2/23/2017,,,
470,self a pattern [ change ],2/23/2017,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,best faucet water filter,9/12/2016,,,
480,best therapist san diego,9/12/2016,,,
481,best sports bras big tits,9/14/2016,,,
482,best sunscreen no toxins,9/12/2016,,,
483,best translation of lucretius,9/14/2016,,,
484,best synonym,9/14/2016,,,
485,best surgeon prolactinoma,9/14/2016,,,
486,best bluetooth earbuds,9/14/2016,,,
487,best whole food vitamins,9/12/2016,,,
488,best basic leggings,9/14/2016,,,
489,best cheap parking downtown,9/14/2016,,,
490,best way to hard boil eggs,9/14/2016,,,
491,best iud,9/14/2016,,,
492,best endocrinologist,9/14/2016,,,
493,best palm springs restaurant,9/14/2016,,,
494,best migraine supplements,9/14/2016,,,
495,best knockoff android tablet,9/14/2016,,,
496,best browser for mac,9/14/2016,,,
497,best innovative writing,9/14/2016,,,
498,best video conference platform,9/14/2016,,,
499,best way to cover your webcam,9/14/2016,,,
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,O B J E C T O R I E N T E D L O N E L I N E S S,12/9/2016,,,
509,#sylviaplathsaturdays,2/19/2017,,,
510,,,,,
511,,,,,
512,among the telomeres,2/14/2017,,,
513,memeing along,2/14/2017,,,
514,,,,,
515,,,,,
516,content was a feeling,2/26/2017,,,
517,now content fills holes,2/26/2017,,,
518,,,,,
519,,,,,
520,post-pomo self product,2/16/2017,,,
521,flarf enters bloodstream,2/16/2017,,,
522,,,,,
523,,,,,
524,meet six or more criteria,9/15/2016,,,
525,still have unlimited data,9/15/2016,,,
526,,,,,
527,,,,,
528,placing undue significance in,8/22/2016,,,
529,wikipedia thermodynamics,8/22/2016,,,
530,,,,,
531,,,,,
532,you could say a rough patch,8/22/2017,,,
533,#whenyoursexualassaulthasacopay,8/22/2016,,,
534,,,,,
535,,,,,
536,fake stone clips on heart wants to,9/13/2016,,,
537,tell me how i’m breathing,9/13/2016,,,
538,,,,,
539,,,,,
540,do you consider yourself,12/29/2016,,,
541,hypermobile? stop before you feel it,12/29/2016,,,
542,,,,,
543,,,,,
544,self a syndrome,9/3/2016,,,
545,self a sensor,2/23/2017,,,
546,,,,,
547,,,,,
548,,,,,
549,,,,,
550,,,,,
551,,,,,
552,,,,,
553,,,,,
554,each line a body data traces,4/13/2017,,,
555,self as [ research / subject ],12/29/2016,,,
556,,,,,
557,,,,,
558,spine objects won’t articulate,2/27/2017,,,
559,overworked [ T12 / L1 ],2/27/2017,,,
560,,,,,
561,,,,,
562,[ to write / on hands and knees ],2/14/2017,,,
563,find new means to [ bend / fold / score ],2/14/2017,,,
564,,,,,
565,,,,,
566,data is evidence of flesh,5/22/2017,,,
567,symptom tracked proves pain nonfiction,5/22/2017,,,
568,,,,,
569,,,,,
570,these muscles turn on others,5/22/2017,,,
571,have you tried turning it off back on again,1/20/2017,,,
572,,,,,
573,,,,,
574,Y O U H O L D Y O U R S E L F U P,2/14/2017,,,
575,this is the muscle that helps you float,5/22/2017,,,
576,,,,,
577,,,,,
578,bones autocorrect,2/14/2017,,,
579,resist to sit,2/14/2017,,,
580,,,,,
581,,,,,
582,i am the alphabet’s cyborg,9/24/2016,,,
583,self an api,5/21/2017,,,
584,,,,,
585,,,,,
586,,,,,
587,,,,,
588,,,,,
589,,,,,
590,,,,,
591,,,,,
592,waiting room butterflies,9/24/2016,,,
